accommodates,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,price
10,3,Real Bed,3,4,1,strict,1,t,f,1,f,1125,1,House,10,10,8,100,10,Entire home/apt,$650.00 
6,1,Real Bed,2,3,1,flexible,1,t,f,1,f,1125,1,Apartment,8,10,8,100,10,Entire home/apt,$300.00 
4,1,Real Bed,1,2,1,moderate,2,t,t,1,t,31,17,House,10,10,10,98,10,Private room,$75.00 
4,1,Real Bed,1,3,1,flexible,2,t,f,1,f,5,2,House,10,10,9,100,10,Private room,$60.00 
7,2,Real Bed,3,5,1,strict,8,t,f,1,f,7,2,House,10,10,10,99,9,Entire home/apt,$500.00 
8,2,Real Bed,3,4,1,strict,1,t,f,1,f,1125,6,House,10,10,10,92,9,Entire home/apt,$157.00 
4,1,Real Bed,1,1,1,strict,2,t,f,1,t,1125,8,House,10,10,10,100,10,Entire home/apt,$180.00 
6,2.5,Real Bed,2,3,8,strict,4,t,f,26,f,1125,2,House,10,10,10,100,10,Entire home/apt,$172.00 
7,2,Real Bed,3,4,2,strict,6,t,t,2,f,1125,2,House,10,10,10,100,10,Entire home/apt,$399.00 
2,1,Real Bed,0,1,1,moderate,2,t,f,1,f,1125,0,Apartment,,,,,,Entire home/apt,$63.00 
2,1,Real Bed,1,1,1,moderate,1,t,f,1,f,1125,1,Apartment,10,10,10,100,10,Entire home/apt,$75.00 
2,1,Real Bed,0,1,1,flexible,0,t,f,1,f,1125,14,Apartment,10,10,9,86,9,Entire home/apt,$60.00 
4,1,Real Bed,2,2,1,flexible,1,t,f,1,f,1125,4,House,10,10,10,100,10,Entire home/apt,$95.00 
2,1,Real Bed,1,1,1,moderate,1,t,f,1,f,1125,16,House,10,10,10,95,10,Private room,$60.00 
6,1.5,Real Bed,2,3,1,strict,1,t,f,1,f,1125,3,House,10,10,10,100,9,Entire home/apt,$185.00 
3,1,Real Bed,2,2,3,flexible,1,t,f,3,f,1125,0,Apartment,,,,,,Entire home/apt,$90.00 
2,1,Real Bed,1,1,2,strict,0,t,t,2,f,1125,26,House,10,10,10,98,10,Private room,$49.00 
6,2,Real Bed,3,2,2,strict,1,t,f,2,f,5,0,House,,,,,,Entire home/apt,$600.00 
2,1,Real Bed,0,1,2,strict,2,t,f,2,f,1125,3,Apartment,10,10,10,100,10,Entire home/apt,$100.00 
4,1,Real Bed,2,2,7,strict,1,t,f,339,f,180,2,House,10,10,8,90,9,Entire home/apt,$172.00 
6,1,Real Bed,1,3,1,flexible,1,t,f,1,f,1125,0,Apartment,,,,,,Entire home/apt,$150.00 
3,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$200.00 
4,1,Real Bed,2,3,1,strict,2,t,f,1,f,150,0,House,,,,,,Entire home/apt,$190.00 
2,1,Pull-out Sofa,0,1,1,moderate,1,t,f,1,t,1125,23,Apartment,10,10,9,96,9,Entire home/apt,$85.00 
4,1,Real Bed,1,2,1,moderate,1,t,f,1,f,1125,2,Apartment,10,10,10,100,10,Entire home/apt,$175.00 
4,1,Real Bed,1,1,1,strict,1,t,f,2,f,1125,2,House,10,10,10,100,10,Entire home/apt,$89.00 
4,1,Real Bed,2,2,7,strict,1,t,f,339,f,185,2,House,10,10,10,100,10,Entire home/apt,$170.00 
